task number,Enters,Leaves
1,,23
2,100,167
3,235,271
4,341,403
5,478,510
6,580,629
7,696,729
8,796,835
9,900,930
10,1000,1043
11,1108,1138
12,1202,1236
13,1297,1333
14,1397,1429
15,1493,1531
16,1597,1628
17,1681,1709
18,1769,1796
19,1856,1897
20,1956,1983
21,2040,2073
22,2134,2169
23,2225,2256
24,2317,2352
25,2412,2456
26,2514,2544
27,2609,2631
28,2695,2727
29,2789,2817
30,2881,2916
31,2984,3027
32,3085,3122
33,3181,3212
34,3273,3322
35,3405,3437
36,3506,3529
37,3594,3684
38,3748,3791
39,3846,3896
40,3955,4061
41,4121,4150
42,4212,4258
43,4316,4373
44,4429,4475
45,4532,4563
46,4613,4664
47,4722,4770
48,4837,4879
49,4940,5005
50,5065,5122
51,5179,5214
52,5258,5317
53,5359,5379
54,5429,5446
55,5495,5537
56,5599,5632
57,5694,5722
58,5784,5826
59,5884,5917
60,5971,6001
61,6056,6094
62,6158,6184
63,6246,6284
64,6349,6386
65,6452,6483
66,6539,6564
67,6619,6641
68,6698,6719
69,6780,6808
70,6869,6890
71,6956,6979
72,7045,7070
73,7140,7174
74,7239,7324
75,7392,7420
76,7484,7537
77,7607,7653
78,7725,7764
79,7841,7883
80,7962,8002
81,8070,8129
82,8205,8243
83,8329,8386
84,8454,8496
85,8572,8602
86,8664,8692
87,8761,8789
88,8861,8890
89,8951,8979
90,9040,9061
91,9122,9221
92,9291,9347
93,9416,9461
94,9530,9582
95,9646,9726
96,9801,9838
97,9900,9937
98,10012,10045
99,10116,10145
100,10215,10267
101,10336,10372
102,10443,10485
103,10555,10589
104,10654,10689
105,10740,10766
106,10813,10834
107,10889,
