task number,Enters,Leaves,,,,,,,
1,,601.2,,,,,,,1.2
2,621.15,671.85,,,,,,21.15,71.85
3,722.2,741.12,,,,,,122.2,141.12
4,792,814,,,,,,192,214
5,862.74,884.4,,,,,,262.74,284.4
6,935,960,,,,,,335,360
7,1014,1029,,,,,,414,429
8,1080,1104,,,,,,480,504
9,1157,1178,,,,,,557,578
10,1231,1263,,,,,,631,663
11,1310,1340,,,,,,710,740
12,1390,1431,,,,,,790,831
13,1482,1509,,,,,,882,909
14,1555,1584,,,,,,955,984
15,1630,1663,,,,,,1030,1063
16,1710,1744,,,,,,1110,1144
17,1796,1820,,,,,,1196,1220
18,1870,1908,,,,,,1270,1308
19,1960,1984,,,,,,1360,1384
20,2035,2054,,,,,,1435,1454
21,2103,2132,,,,,,1503,1532
22,2183,2205,,,,,,1583,1605
23,2252,2292,,,,,,1652,1692
24,2338,2372,,,,,,1738,1772
25,2422,2448,,,,,,1822,1848
26,2496,2527,,,,,,1896,1927
27,2574,2600,,,,,,1974,2000
28,2652,2668,,,,,,2052,2068
29,2714,2731,,,,,,2114,2131
30,2778,2896,,,,,,2178,2296
31,2934,2928,,,,,,2334,2328
32,2943,2994,,,,,,2343,2394
33,3044,3145,,,,,,2444,2545
34,3168,3190,,,,,,2568,2590
35,3214,3225,,,,,,2614,2625
36,3252,3280,,,,,,2652,2680
37,3307,3323,,,,,,2707,2723
38,3350,3407,,,,,,2750,2807
39,3434,3452,,,,,,2834,2852
40,3478,3493,,,,,,2878,2893
41,3521,3534,,,,,,2921,2934
42,3561,3579,,,,,,2961,2979
43,3606,3619,,,,,,3006,3019
44,3645,3660,,,,,,3045,3060
45,3686,3706,,,,,,3086,3106
46,3735,3761,,,,,,3135,3161
47,3788,3807,,,,,,3188,3207
48,3825,3829,,,,,,3225,3229
49,3848,3875,,,,,,3248,3275
50,3924,3953,,,,,,3324,3353
51,3976,4026,,,,,,3376,3426
52,4054,4084,,,,,,3454,3484
53,4112,4129,,,,,,3512,3529
54,4157,4166,,,,,,3557,3566
55,4192,4210,,,,,,3592,3610
56,4236,4266,,,,,,3636,3666
57,4295,4325,,,,,,3695,3725
58,4357,4373,,,,,,3757,3773
59,4400,4419,,,,,,3800,3819
60,4448,4464,,,,,,3848,3864
61,4490,4518,,,,,,3890,3918
62,4569,4600,,,,,,3969,4000
63,4654,4690,,,,,,4054,4090
64,4747,4792,,,,,,4147,4192
65,4849,4877,,,,,,4249,4277
66,4929,4950,,,,,,4329,4350
67,5001,5034,,,,,,4401,4434
68,5090,5122,,,,,,4490,4522
69,5182,5296,,,,,,4582,4696
70,5356,5460,,,,,,4756,4860
71,5512,5546,,,,,,4912,4946
72,5599,5634,,,,,,4999,5034
73,5695,5772,,,,,,5095,5172
74,5831,5911,,,,,,5231,5311
75,5970,6007,,,,,,5370,5407
76,6060,6130,,,,,,5460,5530
77,6184,6227,,,,,,5584,5627
78,6261,6270,,,,,,5661,5670
79,6287,6307,,,,,,5687,5707
80,6364,6442,,,,,,5764,5842
81,6499,6533,,,,,,5899,5933
82,6591,6630,,,,,,5991,6030
83,6686,6755,,,,,,6086,6155
84,6812,6863,,,,,,6212,6263
85,6923,6959,,,,,,6323,6359
86,7017,7042,,,,,,6417,6442
87,7104,7180,,,,,,6504,6580
88,7233,7274,,,,,,6633,6674
89,7338,7374,,,,,,6738,6774
90,7438,7470,,,,,,6838,6870
91,7528,7577,,,,,,6928,6977
92,7631,7655,,,,,,7031,7055
93,7708,7732,,,,,,7108,7132
94,7786,7882,,,,,,7186,7282
95,7929,7955,,,,,,7329,7355
96,8005,8076,,,,,,7405,7476
97,8110,8121,,,,,,7510,7521
98,8141,8160,,,,,,7541,7560
99,8213,8254,,,,,,7613,7654
100,8310,8352,,,,,,7710,7752
101,8406,8427,,,,,,7806,7827
102,8461,8468,,,,,,7861,7868
103,8491,8519,,,,,,7891,7919
104,8578,8609,,,,,,7978,8009
105,8666,8698,,,,,,8066,8098
106,8758,8774,,,,,,8158,8174
107,8838,8876,,,,,,8238,8276
108,8938,8977,,,,,,8338,8377
109,9038,9068,,,,,,8438,8468
110,9129,9159,,,,,,8529,8559
111,9215,9235,,,,,,8615,8635
112,9289,9308,,,,,,8689,8708
113,9368,9417,,,,,,8768,8817
114,9469,,,,,,,8869,
