task number,Enters,Leaves
1,,21
2,87,119
3,186,213
4,285,313
5,386,412
6,484,516
7,584,636
8,705,736
9,806,839
10,912,940
11,1011,1036
12,1106,1133
13,1203,1244
14,1314,1343
15,1413,1443
16,1519,1550
17,1624,1666
18,1736,1767
19,1835,1903
20,1973,2001
21,2076,2110
22,2184,2212
23,2283,2334
24,2415,2453
25,2530,2566
26,2640,2676
27,2753,2780
28,2857,2882
29,2959,2989
30,3074,3098
31,3185,3212
32,3283,3311
33,3384,3412
34,3485,3517
35,3591,3671
36,3742,3769
37,3843,3923
38,3998,4036
39,4106,4139
40,4210,4260
41,4331,4363
42,4435,4460
43,4532,4568
44,4641,4698
45,4771,4802
46,4870,4913
47,5040,5081
48,5159,5202
49,5274,5314
50,5389,5435
51,5501,5551
52,5620,5661
53,5734,5756
54,5826,5850
55,5929,6080
56,6161,6192
57,6267,6289
58,6362,6396
59,6473,6510
60,6587,6622
61,6694,6730
62,6805,6901
63,6972,7023
64,7092,7119
65,7196,7327
66,7404,7438
67,7512,7537
68,7614,7645
69,7722,7757
70,7829,7861
71,7930,7967
72,8039,8068
73,8145,8184
74,8259,8294
75,8374,8413
76,8486,8517
77,8594,8619
78,8693,8734
79,8812,8843
80,8920,8952
81,9030,9090
82,9169,9220
83,9295,9336
84,9413,9446
85,9523,9556
86,9640,9672
87,9748,9784
88,9856,9892
89,9974,10010
90,10096,10131
91,10220,10287
92,10363,10409
93,10484,10527
94,10610,10644
95,10726,
