task number,Enters,Leaves
1,,31
2,92,118
3,172,202
4,254,280
5,330,354
6,405,423
7,474,499
8,552,572
9,623,675
10,724,744
11,795,816
12,865,886
13,935,963
14,1015,1032
15,1081,1106
16,1159,1181
17,1232,1266
18,1312,1342
19,1391,1436
20,1486,1507
21,1556,1587
22,1634,1665
23,1713,1750
24,1799,1824
25,1872,1909
26,1963,1987
27,2035,2058
28,2105,2135
29,2185,2207
30,2256,2295
31,2344,2376
32,2425,2452
33,2497,2532
34,2577,2605
35,2652,2671
36,2715,2735
37,2780,2896
38,2945,3003
39,3045,3173
40,3219,3262
41,3310,3333
42,3385,3443
43,3496,3527
44,3579,3692
45,3743,3782
46,3832,3861
47,3915,3943
48,3995,4033
49,4083,4113
50,4162,4193
51,4242,4284
52,4340,4386
53,4444,4485
54,4544,4573
55,4617,4715
56,4769,4818
57,4872,4919
58,4972,5032
59,5085,5123
60,5174,5195
61,5245,5281
62,5331,5393
63,5448,5510
64,5569,5606
65,5659,5697
66,5751,5784
67,5835,5866
68,5915,5948
69,6000,6038
70,6093,6141
71,6194,6227
72,6276,6300
73,6348,6383
74,6436,6471
75,6530,6645
76,6700,6807
77,6858,6894
78,6946,6981
79,7041,7122
80,7177,7260
81,7315,7355
82,7408,7477
83,7529,7574
84,7633,7654
85,7710,7789
86,7846,7881
87,7935,7978
88,8033,8102
89,8160,8210
90,8269,8307
91,8364,8391
92,8451,8527
93,8579,8621
94,8680,8722
95,8782,8817
96,8875,8925
97,8978,9002
98,9054,9079
99,9131,9233
100,9274,9302
101,9352,9424
102,9485,9507
103,9559,9601
104,9655,9699
105,9749,9774
106,9833,9867
107,9923,9957
108,10011,10044
109,10102,10121
110,10182,10223
111,10281,10326
112,10381,10415
113,10474,10505
114,10560,10581
115,10635,10657
116,10713,10763
117,10814,
